status,message,crude_to_process,gasoline_produced,diesel_produced,total_revenue,total_cost,profit,capacity_utilization,profit_per_barrel,product_mix_ratio,gasoline_margin,diesel_margin,binding_constraints,parameters,scenario
optimal,Optimization successful,50000.0,22500.0,17500.0,3512500.0,3300000.0,212500.0,100.0,4.25,1.29,-54.44,-100.71,"['capacity', 'diesel_demand']","{'crude_price': 60, 'gasoline_price': 90, 'diesel_price': 85, 'var_op_cost': 5, 'fixed_op_cost': 50000}",Constrained (50K)
optimal,Optimization successful,70000.0,31500.0,24500.0,4917500.0,4600000.0,317500.0,100.0,4.54,1.29,-54.44,-100.71,['capacity'],"{'crude_price': 60, 'gasoline_price': 90, 'diesel_price': 85, 'var_op_cost': 5, 'fixed_op_cost': 50000}",Maintenance (70K)
optimal,Optimization successful,100000.0,45000.0,35000.0,7025000.0,6550000.0,475000.0,100.0,4.75,1.29,-54.44,-100.71,['capacity'],"{'crude_price': 60, 'gasoline_price': 90, 'diesel_price': 85, 'var_op_cost': 5, 'fixed_op_cost': 50000}",Baseline (100K)
optimal,Optimization successful,120000.0,54000.0,42000.0,8430000.0,7850000.0,580000.0,100.0,4.83,1.29,-54.44,-100.71,['capacity'],"{'crude_price': 60, 'gasoline_price': 90, 'diesel_price': 85, 'var_op_cost': 5, 'fixed_op_cost': 50000}",Expansion (120K)
